record	mean_seconds_faster_vs_FA3
2025-09-03_FA3	0.0000
2025-09-05_SkipMLPBlocks	1.1744
2025-09-10_Yarn	2.9215
2025-09-11_VectSigmoidBFloat16	6.4971
2025-09-15_AsyncDataLoadAttnFinalWindow	9.2920
2025-09-18_Smear	10.3930
2025-09-21_DropAttn	12.4856
2025-09-23_MuonCustomSizing	13.0366
2025-09-27_BF16CE	13.8406
2025-09-29_PolarExpress	12.8390
2025-09-30_CustomBatching	16.3214
2025-10-04_Backout	22.0642
2025-10-24_NorMuon	22.8138
2025-10-27_FixMuonLR	24.1054
2025-10-31_AdamSyncGradientHook	26.4624
2025-11-10_CautiousWD	26.1254
2025-11-18_RefineSkip	28.0412
2025-11-29_BatchSizeSchedule	29.8550
2025-12-10_SALambdaOnWeights	31.2214
2025-12-11_NorMuonOptimsAndFixes	
2025-12-14_PartialKeyOffset	34.6886
2025-12-18_CautiousWDAdam	35.7334
2025-12-19_RetieLMHead	39.1002
2025-12-21_SmoothedScalars	41.4436
2025-12-22_MultiTokenPrediction	44.2788
2025-12-26_LogitRescale	47.0766
2025-12-29_VeSkipGates	48.5192
2025-12-31_GatesToCompiledAdam	49.9518
2026-01-04_MixedPrecisionInterweavedOptimizer	51.1054
2026-01-07_PairedHeadAttention	54.6598
2026-01-10_FusedLinearReLUSquare	55.2382
2026-01-16_FusedSoftcappedEntropy	55.7460
2026-01-18_UnifiedOptimizers	56.6202
2026-01-19_BigramHashEmbedding	63.2192
